Listing Name,Price,Room Type,Reviews,Location
HUGE room/Williamsburg Waterfront!,161,Private room,8 reviews,"Williamsburg, Brooklyn"
Gorgeous studio in Brooklyn Heights,167,Entire home/apt,6 reviews,"Brooklyn Heights, Brooklyn"
Charming Boerum Hill - Private Deck,110,Private room,88 reviews,"Boerum Hill, Brooklyn"
2RMSuite Seconds from the L train!,105,Private room,6 reviews,"Bushwick, Brooklyn"
Garden Apt / Fort Greene Brownstone,304,Entire home/apt,71 reviews,"Fort Greene, Brooklyn"
Beautiful luxury one-bdrm apartment,192,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
Central Williamsburg Penthouse,123,Private room,30 reviews,"Williamsburg, Brooklyn"
Private suite in Brooklyn's Heart,110,Private room,8 reviews,"Boerum Hill, New York"
Central Williamsburg Penthouse,123,Private room,30 reviews,"Williamsburg, Brooklyn"
Private suite in Brooklyn's Heart,110,Private room,8 reviews,"Boerum Hill, New York"
Luminous 2BR in Park Slope NYC,218,Entire home/apt,11 reviews,"Park Slope, Brooklyn"
Downtown Brooklyn Luxury Building,129,Shared room,10 reviews,"Fort Greene, Brooklyn"
Penthouse in the sky,192,Entire home/apt,48 reviews,"Greenpoint, Brooklyn"
Large Room in Williamsburg,65,Private room,1 review,"Williamsburg, Brooklyn"
CHEAP BIG room in Williamsburg,65,Private room,31 reviews,"Williamsburg, Williamsburg Brooklyn"
Luxury Fort Greene Brooklyn Apt,180,Entire home/apt,2 reviews,"Fort Greene, Brooklyn"
Nice room + Private Rooftop Terrace,89,Private room,2 reviews,"Williamsburg, Brooklyn"
Modern 1BR  in Trendy Williamsburg,181,Entire home/apt,12 reviews,"Williamsburg, Brooklyn"
FORT GREENE BROOKLYN BROWNSTONE,161,Entire home/apt,36 reviews,"Fort Greene, Brooklyn"
Large Room with Private Bathroom,48,Private room,2 reviews,"Clinton Hill, Brooklyn"
Beautiful modern Brooklyn apt,233,Entire home/apt,13 reviews,"Boerum Hill, Brooklyn"
Spacious Studio 3 - Fort Greene,78,Private room,48 reviews,"Boerum Hill, Brooklyn"
Sunny Room 1/2 Block from L Train!,71,Private room,52 reviews,"Bushwick, Brooklyn"
Waterbury House Brooklyn New York 1,142,Private room,63 reviews,"Williamsburg, Brooklyn"
Best View of Mnhtn in Crown Heights,102,Private room,7 reviews,"Crown Heights, Brooklyn"
ZEN LOFT 1 - INSTANT BOOK NOW :),103,Private room,5 reviews,"Williamsburg, Brooklyn"
Lovely Bklyn Heights brownstone 1BR,174,Entire home/apt,17 reviews,"Brooklyn Heights, Brooklyn"
Winter/Sprin Discount  Williamsburg,129,Private room,3 reviews,"Williamsburg, New York"
The Wedge House—Single Fam. Home,161,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
Private Room/Heart of Williamsburg,97,Shared room,12 reviews,"Williamsburg, Brooklyn"
Spacious loft in Downtown Brooklyn,127,Private room,55 reviews,"Downtown Brooklyn, Brooklyn"
"Steps From Art, Shopping & Eats",194,Entire home/apt,11 reviews,"Prospect Heights, Brooklyn"
Giant Bedroom - Steps from Subway,121,Private room,5 reviews,"Carroll Gardens, Brooklyn"
"Spacious, Spotless 1Bd- BK Heights!",194,Entire home/apt,92 reviews,"Brooklyn Heights, Brooklyn"
Base Camp in Bed-Stuy,110,Entire home/apt,16 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Room - Park Slope,84,Private room,3 reviews,"Gowanus, Brooklyn"
"Clean, homey, beautiful Garden apt.",129,Entire home/apt,11 reviews,"Bedford-Stuyvesant, Brooklyn"
Cozy and Quiet Private Bedroom,84,Private room,3 reviews,"Williamsburg, Brooklyn"
2bdrm Luxury Apt Fort Greene Bklyn,226,Entire home/apt,117 reviews,"Fort Greene, Brooklyn"
Cozy Room With private 1/2 bath,78,Private room,101 reviews,"Park Slope, Brooklyn"
Bushwick Creative Den of Bliss,97,Private room,39 reviews,"Bushwick, Brooklyn"
Sunny Room/private bath/ Brownstone,123,Private room,31 reviews,"Park Slope, Brooklyn"
"Beautiful Room with Bath, Balcony",103,Private room,75 reviews,"Williamsburg, Brooklyn"
"Great Room, Great Hosts, Great Hood",52,Private room,30 reviews,"Bushwick, Brooklyn"
Lovely Spacious Private Room,110,Private room,17 reviews,"Flatbush, Brooklyn"
"Modern, Well-Appointed Room in NYC!",84,Private room,60 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Room/1 Block From Train,71,Private room,4 reviews,"Bushwick, Brooklyn"
Gorgeous Brownstone Suite,141,Private room,28 reviews,"Prospect Heights, Brooklyn"
Airy room,58,Private room,10 reviews,"Windsor Terrace, Brooklyn"
The Brooklyn Life - Garden Suite,161,Entire home/apt,4 reviews,"Bedford-Stuyvesant, Brooklyn"
